filename,slug,primary,secondary,related_blueprint,pdf,og_image,needs_fix,notes,legacy_primary
action-profiles-to-servicev2.mdx,action-profiles-to-servicev2,SAP,"[""CX""]",action-profiles-servicev2-migration,,,fixed,"Added blueprint, fixed date",
ai-driven-cx-sap-joule-ml-toolkit.mdx,ai-driven-cx-sap-joule-ml-toolkit,AI/ML,"[""Joule""]",cx-ai-toolkit-implementation,,,fixed,"Added slug, blueprint, fixed primary",AI-ML
commerce-personalization-pilot.mdx,commerce-personalization-pilot,SAP,"[""CX""]",commerce-personalization-pilot,,,no,"Has blueprint reference",
cx-modernization-telemetry.mdx,cx-modernization-telemetry,SAP,"[""CX""]",cx-telemetry-architecture,,,fixed,"Added blueprint, shortened content",
joule-cpq-recommendations.mdx,joule-cpq-recommendations,AI/ML,"[""Joule"", ""Recommendations""]",joule-cpq-recommendations,,,no,"Has blueprint, fixed date",
predictive-dispatch-pilot.mdx,predictive-dispatch-pilot,SAP,"[""FSM""]",predictive-dispatch-fsm,,,fixed,"Fixed date, fixed link",
predictive-dispatch.mdx,predictive-dispatch,SAP,"[""FSM""]",predictive-dispatch-fsm,,,no,"Has blueprint reference",
rag-in-cx.mdx,rag-in-cx,AI/ML,"[""Recommendations""]",,,,yes,"Needs blueprint",
sap-ai-governance-framework.mdx,sap-ai-governance-framework,AI/ML,"[""MLOps""]",sap-ai-governance,,,fixed,"Added blueprint, shortened content",
sap-ai-integration-patterns.mdx,sap-ai-integration-patterns,AI/ML,"[""Analytics""]",sap-ai-integration-patterns,,,fixed,"Added blueprint reference",
sap-performance-optimization.mdx,sap-performance-optimization,SAP,"[""S4HANA"", ""Integration""]",,,,yes,"Very long content for signal, needs blueprint",
vedic-ahimsa.mdx,vedic-ahimsa,Dharma,"[""Practice""]",,,,yes,"Fixed date, needs blueprint",
vedic-micropractice-focus.mdx,vedic-micropractice-focus,Dharma,"[""Practice""]",sprint-micropractice,,,fixed,"Fixed date, fixed link",
vedic-wisdom-modern-teams.mdx,vedic-wisdom-modern-teams,Dharma,"[""Veda"", ""Practice""]",,,,yes,"Long content for signal, needs blueprint"
